data-start,time,data-today,latitude,longitude,data-geopoint_test-altitude,data-geopoint_test-accuracy,data-select_country,data-datetime_test,data-select_soundwatchvessel,data-Boat_Driver,data-vessel,data-action,data-kayak_num,data-incidents,,data-select_previous,data-photos,data-photo_number,data-select_whaleinfo,data-species,data-select_pod,data-whaleinformation,data-select_behavior,data-changeinbehavior,data-select_wwf,data-vesselswwf,data-select_kayakwwf,data-sentinel,data-Comments,data-initials,data-meta-instanceID
9/4/2022,14:26,4/9/2022,48.4864696,-123.1059088,-6.066419126,6.431,USA,4/9/22 14:26,Raydiance,Alanna,PS,T,0,"400yd_inthepath, no_go_zone, 300_yards_under_power","400yd inthepath, no go zone, 300 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_na,Research_Monitoring,Nimway,CPM,uuid:509e4691-cc1e-417b-8272-0080ea03c3e3
9/4/2022,14:31,4/9/2022,48.4836628,-123.1033028,-15.91025665,4.181,USA,4/9/22 14:32,Raydiance,Alanna,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,2,kayakwwf_na,"Research_Monitoring, Enforcement",,CPM,uuid:a4e4934e-fc6a-433d-8ff9-539620111f31
9/4/2022,14:35,4/9/2022,48.4817899,-123.1015481,-16.42638203,9.567,USA,4/9/22 14:35,Raydiance,Alanna,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,2,kayakwwf_na,"Research_Monitoring, Enforcement",,CPM,uuid:444ec5c2-6572-40d5-92ae-9da2910f664b
9/4/2022,14:51,4/9/2022,48.4706016,-123.0738427,-17.54984751,6.431,USA,4/9/22 14:51,Raydiance,Alanna,PS,T,,"travel_behind100_400yds, 300_yards_under_power, no_go_zone","travel behind100 400yds, 300 yards under power, no go zone",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_na,Research_Monitoring,Summer Reign,CPM,uuid:8277f266-d13c-4b5b-835d-425baa394ace
9/4/2022,15:00,4/9/2022,48.4761545,-123.0821989,-21.40119961,4.328,USA,4/9/22 15:00,Raydiance,Alanna,PM,F,0,"400yd_inthepath, fishing_within200yds, 300_yards_under_power","400yd inthepath, fishing within200yds, 300 yards under power",contact_yes,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_na,Research_Monitoring,,CPM,uuid:e0a622f2-1240-44b1-b91e-387e7dd33df7
9/4/2022,15:06,4/9/2022,48.4791596,-123.0869602,-25.93628045,7.01,USA,4/9/22 15:06,Raydiance,Alanna,PM,T,0,"inshore_of_whales, 300_yards_under_power, 400yd_inthepath, no_go_zone","inshore of whales, 300 yards under power, 400yd inthepath, no go zone",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_y,3 tail slaps,wwf_n,1,kayakwwf_na,,WN 5741 LE,CPM,uuid:b194179f-a2e4-421a-8982-bef0d1dd04e1
9/4/2022,15:08,4/9/2022,48.479754,-123.0877543,-22.09065164,4.944,USA,4/9/22 15:08,Raydiance,Alanna,PM,WO,0,"inshore_of_whales, 400yd_inthepath, 300_yards_under_power, no_go_zone, fishing_within200yds","inshore of whales, 400yd inthepath, 300 yards under power, no go zone, fishing within200yds",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_y,3 tailslaps,wwf_n,1,kayakwwf_na,,,CPM,uuid:93640e70-c1a4-4c12-b784-7f8e004fe4c1
9/4/2022,16:54,4/9/2022,48.4757695,-123.0936022,-22.71223505,4.857,USA,4/9/22 16:54,Raydiance,Alanna,PM,WO,0,"400yd_inthepath, 300_yards_under_power, high_speed_within_1km","400yd inthepath, 300 yards under power, high speed within 1km",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,3,,Research_Monitoring,,CPM,uuid:cf56d09a-3d7e-493e-bbd2-a09fe2297f23
9/4/2022,16:59,4/9/2022,48.4699287,-123.0842237,-15.21054655,12.825,USA,4/9/22 17:00,Raydiance,Alanna,PM,WO,0,"400yd_inthepath, shutdown_within300yds","400yd inthepath, shutdown within300yds",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_unk,,wwf_n,3,kayakwwf_na,Research_Monitoring,Sea fever,CPM,uuid:462973f1-70a1-4626-b64f-817a8dfe9601
9/8/2022,10:45,8/9/2022,48.4626159,-123.0819249,-18.66490995,4.863,USA,8/9/22 10:45,Raydiance,Alanna,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,"J, K",,behavior_n,,wwf_n,2,kayakwwf_na,Research_Monitoring,Cut & run,Ceo,uuid:d5a20242-8f0a-4677-9a42-bfae445f50a2
