start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,select_whaleinfo,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials,meta:instanceID
Sat Aug 17 20:39:43 UTC 2019,Sat Aug 17 20:40:49 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.43641667,-123.0107233,-2,3.9,Sat Aug 17 20:39:00 UTC 2019,Raydiance,Taylor,EU,WO,,no_go_zone,no go zone,contact_no,photo_n,whaleinfo_y,J pod,,,wwf_y,3,,Vick star,Kw,uuid:01a90991-fdef-484b-866a-721cc8987e0a
Sat Aug 17 21:02:12 UTC 2019,Sat Aug 17 21:06:32 UTC 2019,Sat Aug 17 00:00:00 UTC 2019,48.43914833,-123.0135133,-4.400000095,3.9,Sat Aug 17 21:02:00 UTC 2019,Raydiance,Taylor,PM,F,,high_speed_within_1km 300_yards_under_power fishing_within200yds,high speed within 1km,contact_no,photo_y,whaleinfo_y,J Pod,behavior_unk,,wwf_n,5,,Just for halibut,Kw,uuid:74e7f7e9-26f2-45b2-b7e1-9db86df45d0e
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Sun Aug 18 18:16:46 UTC 2019,Sun Aug 18 18:21:34 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.58770833,-123.20712,-6.699999809,3.9,Sun Aug 18 18:16:00 UTC 2019,Raydiance,Tay,EK,WO,4,inshore_of_whales 300_yards_under_power 400yd_inthepath,inshore of whales,contact_no,photo_y,whaleinfo_y,Jpod,behavior_y,Changed direction,wwf_n,2,kayakwwf_n,Wdfw contacted,Em,uuid:2aa0e4b9-7327-4fc4-aed5-1962dba2a451
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Aug 18 18:49:10 UTC 2019,Sun Aug 18 18:51:49 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.60105167,-123.2070817,-2.799999952,3.9,Sun Aug 18 18:49:00 UTC 2019,Raydiance,Tsy,PM,T,,high_speed_within_1km 300_yards_under_power 400yd_inthepath,high speed within 1km,contact_no,photo_y,whaleinfo_y,Jood,,,,1,,Fiddler Bellevue,Kw,uuid:547c43fa-17de-4670-a8c4-be80ac573a2c
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Aug 18 18:51:52 UTC 2019,Sun Aug 18 18:53:06 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.60059833,-123.2062083,-2.799999952,3.9,Sun Aug 18 18:52:00 UTC 2019,Raydiance,Tayoit,PM,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_y,whaleinfo_y,J pod,behavior_n,,wwf_n,1,,,Kw,uuid:3dab394d-76d3-425f-8d53-6f0fdf1eb6c0
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Aug 18 19:35:34 UTC 2019,Sun Aug 18 19:36:20 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.629955,-123.211975,-2.799999952,3.9,Sun Aug 18 19:35:00 UTC 2019,Raydiance,Taylit,PM,T,,high_speed_within_1km 400yd_inthepath,high speed within 1km,contact_no,photo_y,whaleinfo_y,J pod,,,wwf_n,3,,,Kw,uuid:29e323cc-2866-4f67-93d0-eda59115663a
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Aug 18 19:45:11 UTC 2019,Sun Aug 18 19:46:03 UTC 2019,Sun Aug 18 00:00:00 UTC 2019,48.63784333,-123.2108217,-2.799999952,3.9,Sun Aug 18 19:45:00 UTC 2019,Raydiance,Tay,PM,T,,high_speed_within_1km 400yd_inthepath,high speed within 1km,contact_no,photo_y,whaleinfo_y,J pod,,,wwf_n,2,,,Kw,uuid:df2c9a68-4b96-4b13-a4b5-d77b48597f27
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
