start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,vessel,action,kayak_num,incidents,ODK conversion,select_photo,whaleinfo:whaleinfoYN,whaleinfo:whaleinfoY:whaleID,whaleinfo:whaleinfoY:Idphoto,whaleinfo:whaleinfoY:behavior,whaleinfo:whaleinfoY:behaviorchange,vesselwhaleflag,num_VWF,kayaklandflag,Initials,Comments,meta:instanceID
Sun Jul 15 20:12:11 UTC 2018,Sun Jul 15 20:14:40 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.6061117,-123.2091167,-5.3,10,Sun Jul 15 20:12:00 UTC 2018,PM,WO,,withineighthmile_shore,withineighthmile shore,photo_y,info_yes,J pod,photo_n,behavior_n,,vwf_n,2,,LMY,,uuid:54f4551c-fc2a-462f-959f-8e098656fabb
Sun Jul 15 20:15:34 UTC 2018,Sun Jul 15 20:16:56 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.6109367,-123.2067817,1.6,10,Sun Jul 15 20:15:00 UTC 2018,PM,T,,Fast_withinquartermile_whales,Fast withinquartermile whales,photo_n,info_yes,J pod,photo_n,behavior_unk,,,2,,LMY,,uuid:729861ee-bbf6-4273-9103-2e3b7e461e90
Sun Jul 15 20:19:52 UTC 2018,Sun Jul 15 20:21:42 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.6146467,-123.2030083,28.3,10,Sun Jul 15 20:20:00 UTC 2018,PM,T,,high_speed_within_400 200_yards_under_power 400yd_inthepath,high speed within 400,photo_y,info_yes,J pod,photo_y,behavior_y,1 TS,vwf_n,2,,LMY,,uuid:08194d98-2bb0-4dd6-b943-0dc2309a111d
,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Jul 15 20:37:06 UTC 2018,Sun Jul 15 20:38:20 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.6361733,-123.2094368,-3.3,10,Sun Jul 15 20:37:00 UTC 2018,PM,T,,high_speed_within_400 400yd_inthepath shutdown_within200yds,high speed within 400,photo_y,info_yes,"J16, 17",photo_y,behavior_unk,,vwf_n,3,,LMY,,uuid:a40155f6-bf38-4d6f-ba66-4024833b1b0d
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,shutdown within200yds,,,,,,,,,,,,
Sun Jul 15 22:06:44 UTC 2018,Sun Jul 15 22:08:36 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.7300083,-123.2408683,-11.9,10,Sun Jul 15 22:06:00 UTC 2018,EC,WO,,withineighthmile_shore,withineighthmile shore,photo_y,info_yes,J16,photo_n,behavior_unk,,vwf_n,2,klf_n,,,uuid:b952b7be-5616-4fbc-94aa-7c117e52c86a
Sun Jul 15 22:13:51 UTC 2018,Sun Jul 15 22:15:39 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.7307935,-123.2427214,-5.1,10,Sun Jul 15 22:14:00 UTC 2018,PM,T,,100_yards_under_power withineighthmile_shore travel_behind100_400yds,100 yards under power,photo_y,info_no,,photo_n,behavior_unk,,vwf_n,2,,LMY,,uuid:9e2cceca-f0e3-4d1d-b513-011d9da3e677
,,,,,,,,,,,,withineighthmile shore,,,,,,,,,,,,
,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Sun Jul 15 17:12:32 UTC 2018,Sun Jul 15 17:45:07 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.51814667,-123.1616933,-1.899999976,0.88,Sun Jul 15 17:12:00 UTC 2018,PS,T,,100_yards_under_power 400yd_inthepath no_go_zone travel_behind100_400yds,100 yards under power,photo_n,info_yes,J,photo_n,behavior_unk,,vwf_n,2,,Adn,,uuid:a8447c87-9f8b-4c62-bee3-9232824fa18f
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Sun Jul 15 22:19:21 UTC 2018,Sun Jul 15 22:20:54 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.734055,-123.2467167,2.6,10,Sun Jul 15 22:19:00 UTC 2018,EC,WO,,100_yards_under_power 400yd_inthepath,100 yards under power,photo_y,info_yes,J17 male,photo_y,behavior_n,,vwf_n,2,,LMY,,uuid:b8c589a3-8cbc-4215-ad9a-97be048d8d02
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sun Jul 15 17:45:11 UTC 2018,Sun Jul 15 17:46:52 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.528445,-123.1694533,-8.100000382,0.87,Sun Jul 15 17:45:00 UTC 2018,EC,WO,,no_go_zone,no go zone,photo_y,info_yes,J,photo_n,behavior_n,,vwf_n,3,,Adn,Kko,uuid:00681927-d7a4-40e9-99cc-bbbdae6df0bf
Sun Jul 15 17:52:19 UTC 2018,Sun Jul 15 17:55:51 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.53427833,-123.17033,-1.399999976,0.91,Sun Jul 15 17:52:00 UTC 2018,EU,WO,5,400yd_inthepath,400yd inthepath,photo_y,info_yes,J,photo_n,behavior_y,Deep dive,vwf_n,3,klf_n,Adn,,uuid:5e278e32-3b96-4e0f-86fb-b6839e743ed0
Sun Jul 15 22:49:54 UTC 2018,Sun Jul 15 22:53:19 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.74625,-123.2727267,-9.5,10,Sun Jul 15 22:50:00 UTC 2018,PM,WO,,400yd_inthepath shutdown_within100yds,400yd inthepath,photo_y,info_yes,J17 male J16 pod,photo_n,behavior_unk,,vwf_n,1,,LMY,2nd incident parked in path,uuid:9ced5bb6-da4b-42ce-8437-51e5c518920d
,,,,,,,,,,,,shutdown within100yds,,,,,,,,,,,,
Sun Jul 15 18:01:29 UTC 2018,Sun Jul 15 18:03:10 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.54010833,-123.1687917,-11.80000019,0.9,Sun Jul 15 18:01:00 UTC 2018,PM,WO,,Fast_withinquartermile_whales,Fast withinquartermile whales,photo_n,info_yes,J,photo_n,behavior_unk,,vwf_n,3,,Adn,,uuid:ab876a17-bc47-4755-a778-92d87b4f0082
Sun Jul 15 22:14:54 UTC 2018,Sun Jul 15 22:16:24 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.73166667,-123.2432967,4.5,0.95,Sun Jul 15 22:15:00 UTC 2018,PM,WO,,400yd_inthepath,400yd inthepath,photo_n,info_yes,J16,,,,,2,,Adn,,uuid:51612679-65f0-46e4-b381-65f7e9b703a4
Sun Jul 15 23:10:01 UTC 2018,Sun Jul 15 00:49:52 UTC 2018,Sun Jul 15 00:00:00 UTC 2018,48.76011833,-123.3007917,2.400000095,0.78,Sun Jul 15 23:10:00 UTC 2018,EU,WO,,400yd_inthepath shutdown_within200yds,400yd inthepath,photo_y,info_yes,J17,photo_n,behavior_unk,,vwf_n,2,,Adn,Spirit of orca. They had time to get out of the way and didn't,uuid:e9980ef9-65e3-462e-8839-411ef4ac1ab7
,,,,,,,,,,,,shutdown within200yds,,,,,,,,,,,,
Tue Jul 17 19:11:32 UTC 2018,Tue Jul 17 19:13:17 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.45183,-123.0254017,29.79999924,0.96,Tue Jul 17 19:11:00 UTC 2018,PS,WO,,400yd_inthepath no_go_zone shutdown_within200yds,400yd inthepath,photo_y,info_yes,J16s,photo_y,behavior_n,,vwf_n,3,klf_n,TGS,,uuid:895d4eca-0710-486d-9cc1-2143158ec231
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,shutdown within200yds,,,,,,,,,,,,
Tue Jul 17 18:11:34 UTC 2018,Tue Jul 17 18:13:38 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.477975,-123.0928067,150,3.9,Tue Jul 17 18:11:00 UTC 2018,PM,WO,,400yd_inthepath,400yd inthepath,photo_y,info_yes,J16,photo_y,behavior_n,,vwf_n,3,klf_n,DKA,,uuid:3b0549f7-7cdc-450c-b74f-bb0791a665b4
Tue Jul 17 19:35:10 UTC 2018,Tue Jul 17 19:36:16 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.44389333,-123.0142967,3.900000095,0.79,Tue Jul 17 19:35:00 UTC 2018,PM,T,,high_speed_within_400,high speed within 400,photo_y,info_yes,J16s,photo_n,behavior_unk,,vwf_n,4,klf_n,TGS,,uuid:71398f07-d927-401f-88a0-c35f32567bc4
Tue Jul 17 19:59:49 UTC 2018,Tue Jul 17 20:01:05 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.45539167,-123.02466,-14.69999981,0.86,Tue Jul 17 19:59:00 UTC 2018,PM,WO,,high_speed_within_400 200_yards_under_power 400yd_inthepath no_go_zone,high speed within 400,photo_y,info_yes,J17s,photo_n,behavior_unk,,vwf_n,2,klf_n,TGS,,uuid:68389a3f-0fff-456d-b764-b601d9ec406d
,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Tue Jul 17 19:26:03 UTC 2018,Tue Jul 17 19:27:16 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.44944833,-123.019845,150,3.9,Tue Jul 17 19:26:00 UTC 2018,PM,T,,high_speed_within_400 Fast_withinquartermile_whales,high speed within 400,photo_n,info_yes,J16&17,photo_y,behavior_n,,vwf_n,4,,DKA,,uuid:52d39bc9-9a6a-4146-9546-47b7e071908a
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Tue Jul 17 20:05:39 UTC 2018,Tue Jul 17 20:06:52 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.45699167,-123.0333517,-64,0.85,Tue Jul 17 20:05:00 UTC 2018,PM,T,,high_speed_within_400 400yd_inthepath no_go_zone Fast_withinquartermile_whales,high speed within 400,photo_y,info_yes,J16s,photo_n,behavior_unk,,vwf_n,2,klf_n,TGS,,uuid:af61ac60-5ced-44c6-8336-3738943a8531
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Tue Jul 17 20:07:00 UTC 2018,Tue Jul 17 20:08:07 UTC 2018,Tue Jul 17 00:00:00 UTC 2018,48.45673,-123.0348033,-90.59999847,0.86,Tue Jul 17 20:07:00 UTC 2018,PM,F,,200_yards_under_power no_go_zone fishing_within200yds,200 yards under power,photo_y,info_yes,J16s,photo_n,behavior_unk,,vwf_n,2,klf_n,TGS,,uuid:44a9bdb6-c418-4bf8-91ad-55f856882e00
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Thu Jul 19 20:21:02 UTC 2018,Thu Jul 19 20:23:29 UTC 2018,Thu Jul 19 00:00:00 UTC 2018,48.72516833,-123.1917783,-8.800000191,3.9,Thu Jul 19 20:21:00 UTC 2018,PS,WO,,100_yards_under_power,100 yards under power,photo_y,info_yes,J pod,photo_y,behavior_n,,vwf_n,2,,DKA,,uuid:a5e4875c-aa01-48d8-adef-784fc6b10bd1
Thu Jul 19 21:36:24 UTC 2018,Thu Jul 19 21:37:41 UTC 2018,Thu Jul 19 00:00:00 UTC 2018,48.675605,-123.2293867,-8.800000191,3.9,Thu Jul 19 21:36:00 UTC 2018,PM,T,,200_yards_under_power 400yd_inthepath,200 yards under power,photo_y,info_yes,J pod,photo_y,behavior_y,3 tail slaps,vwf_n,1,,DKA,,uuid:7399b9b9-9eb8-4af2-affd-3975cf04ec60
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Thu Jul 19 22:16:20 UTC 2018,Thu Jul 19 22:17:33 UTC 2018,Thu Jul 19 00:00:00 UTC 2018,48.63945333,-123.2063417,-8.800000191,3.9,Thu Jul 19 22:16:00 UTC 2018,PM,WO,,200_yards_under_power 400yd_inthepath Fast_withinquartermile_whales,200 yards under power,photo_n,info_no,J pod,photo_n,behavior_n,,vwf_n,1,,DKA,,uuid:af3b018b-8535-4bfb-a1e1-be88ea07456a
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
Fri Jul 20 19:18:36 UTC 2018,Fri Jul 20 19:20:49 UTC 2018,Fri Jul 20 00:00:00 UTC 2018,48.724665,-123.17748,-7.9,10,Fri Jul 20 19:18:00 UTC 2018,PM,T,,high_speed_within_400 200_yards_under_power 400yd_inthepath shutdown_within200yds Fast_withinquartermile_whales,high speed within 400,photo_y,info_yes,"J pod, one whale",photo_n,behavior_y,Changed direction to avoid boat,vwf_n,1,,LMY,,uuid:2b5f6f12-0ac6-4c5d-82ad-4be6ddf4951c
,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,shutdown within200yds,,,,,,,,,,,,
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
